strain	date	region	country	is_lab_host	host	genbank_accession	authors
Greece/PP_000QNPJ.3/2015-06-29	2015-06-29	Europe	Greece		Rhipicephalus bursa	MG516213.1	Papa, A.; Papadopoulou, E.; Tsioka, K.; Kontana, A.; Pappa, S.; Melidou, A.; Giadinis, N. D.; Giadinis, N.
China/PP_000QNQG.3/2017-01-01	2017-05-28	Asia	China		Hyalomma asiaticum	MG659722.1	Zhang, Y.; Shen, S.; Fang, Y.; Liu, J.; Su, Z.; Liang, J.; Zhang, Z.; Wu, Q.; Wang, C.; Abudurexiti, A.; Hu, Z.; Deng, F.; Fang, Y. H.; Zhang, Y. F.; Liu, J. L.; Su, Z. Y.; Liang, J. H.; Wu, Q. L.; Wang, Q. G.; Hu, Z. H.; Zhang, Y. J.
China/PP_000QNRE.3/2017-01-01	2017-05-28	Asia	China		Hyalomma asiaticum	MG659725.1	Zhang, Y.; Shen, S.; Fang, Y.; Liu, J.; Su, Z.; Liang, J.; Zhang, Z.; Wu, Q.; Wang, C.; Abudurexiti, A.; Hu, Z.; Deng, F.; Fang, Y. H.; Zhang, Y. F.; Liu, J. L.; Su, Z. Y.; Liang, J. H.; Wu, Q. L.; Wang, Q. G.; Hu, Z. H.; Zhang, Y. J.
Kosovo/PP_000QPRD.3/2013-01-01	2013-05-28	Europe	Kosovo		Homo sapiens	MH133279.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
Kosovo/PP_000QPT9.3/2013-01-01	2013-05-28	Europe	Kosovo		Homo sapiens	MH133282.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
Kosovo/PP_000QPU7.3/2013-01-01	2013-05-28	Europe	Kosovo		Homo sapiens	MH133285.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
Kosovo/PP_000QPV5.3/2013-01-01	2013-05-28	Europe	Kosovo		Homo sapiens	MH133288.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
Kosovo/PP_000QPW3.3/2013-01-01	2013-05-28	Europe	Kosovo		Homo sapiens	MH133291.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
Kosovo/PP_000QPX1.3/2013-01-01	2013-05-28	Europe	Kosovo		Homo sapiens	MH133294.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
Kosovo/PP_000QPYZ.3/2013-01-01	2013-05-28	Europe	Kosovo		Homo sapiens	MH133297.1	Emmerich, P.; Jakupi, X.; von Possel, R.; Berisha, L.; Halili, B.; Gunther, S.; Cadar, D.; Ahmeti, S.; Schmidt-Chanasit, J.
